Year,Quarter,Ireland,Other EU (not Ireland),Rest of Europe (and Med),Rest of World,Total
1996,1,708,4084,1233,4198,10222
1996,2,845,6329,1684,4691,13549
1996,3,1053,7617,2075,2887,16632
1996,4,853,4788,1406,4936,11983
1997,1,794,4311,1368,4534,11007
1997,2,1010,6824,1843,5195,14871
1997,3,1135,8267,2281,6425,18108
1997,4,946,5200,1517,5314,12977
1998,1,853,4512,1450,4881,11796
1998,2,1091,7615,1974,5698,16378
1998,3,1269,9262,2409,7026,19966
1998,4,1050,6128,1608,5309,14154
1999,1,972,5550,1588,4922,13031
1999,2,1156,8681,2068,5376,17281
1999,3,1298,10606,2638,6576,21118
1999,4,1062,6554,1760,5521,14897
2000,1,969,5811,1656,5088,13525
2000,2,1184,9560,2290,5842,18876
2000,3,1370,11585,2795,6976,22726
2000,4,1122,7101,1863,5867,15952
2001,1,954,6134,1702,5254,14044
2001,2,1111,9369,2182,5207,17870
2001,3,1365,11974,2858,6616,22812
2001,4,1160,6785,1672,5051,14669
2002,1,1093,6376,1669,5085,14223
2002,2,1190,10036,2221,5304,18751
2002,3,1405,12464,2879,6475,23223
2002,4,1214,7843,1912,5747,16716
2003,1,1091,6833,1718,5052,14693
2003,2,1242,10998,2308,5205,19754
2003,3,1442,13324,3086,6510,24362
2003,4,1296,8488,2119,6040,17943
2004,1,1199,7353,1951,5581,16083
2004,2,1347,11505,2874,5928,21654
2004,3,1507,13864,3712,7030,26113
2004,4,1350,8862,2618,6341,19171
2005,1,1300,8102,2589,5924,17915
2005,2,1472,11918,3490,6091,22971
2005,3,1656,14288,4405,7276,27624
2005,4,1466,9092,3072,6497,20127
2006,1,,,,,
2006,2,,,,,
