Configuration,Screen Size (Inches),Battery Life (Hours),RAM (GB),Processor Speeds (GHz),HD Size (GB)
1,15,4,1,1.5,40
2,15,4,1,1.5,40
3,15,4,1,1.5,80
4,15,4,1,1.5,80
5,15,4,1,1.5,120
6,15,4,1,1.5,120
7,15,4,1,1.5,300
8,15,4,1,1.5,300
9,15,4,1,1.5,40
10,15,4,1,1.5,40
11,15,4,1,1.5,80
12,15,4,1,1.5,80
13,15,4,1,1.5,120
14,15,4,1,1.5,120
15,15,4,1,1.5,300
16,15,4,1,1.5,300
17,15,4,1,2,40
18,15,4,1,2,40
19,15,4,1,2,80
20,15,4,1,2,80
21,15,4,1,2,120
22,15,4,1,2,120
23,15,4,1,2,300
24,15,4,1,2,300
25,15,4,1,2,40
26,15,4,1,2,40
27,15,4,1,2,80
28,15,4,1,2,80
29,15,4,1,2,120
30,15,4,1,2,120
31,15,4,1,2,300
32,15,4,1,2,300
33,15,4,1,2.4,40
34,15,4,1,2.4,40
35,15,4,1,2.4,80
36,15,4,1,2.4,80
37,15,4,1,2.4,120
38,15,4,1,2.4,120
39,15,4,1,2.4,300
40,15,4,1,2.4,300
41,15,4,1,2.4,40
42,15,4,1,2.4,40
43,15,4,1,2.4,80
44,15,4,1,2.4,80
45,15,4,1,2.4,120
46,15,4,1,2.4,120
47,15,4,1,2.4,300
48,15,4,1,2.4,300
49,15,4,2,1.5,40
50,15,4,2,1.5,40
51,15,4,2,1.5,80
52,15,4,2,1.5,80
53,15,4,2,1.5,120
54,15,4,2,1.5,120
55,15,4,2,1.5,300
56,15,4,2,1.5,300
57,15,4,2,1.5,40
58,15,4,2,1.5,40
59,15,4,2,1.5,80
60,15,4,2,1.5,80
61,15,4,2,1.5,120
62,15,4,2,1.5,120
63,15,4,2,1.5,300
64,15,4,2,1.5,300
65,15,4,2,2,40
66,15,4,2,2,40
67,15,4,2,2,80
68,15,4,2,2,80
69,15,4,2,2,120
70,15,4,2,2,120
71,15,4,2,2,300
72,15,4,2,2,300
73,15,4,2,2,40
74,15,4,2,2,40
75,15,4,2,2,80
76,15,4,2,2,80
77,15,4,2,2,120
78,15,4,2,2,120
79,15,4,2,2,300
80,15,4,2,2,300
81,15,4,2,2.4,40
82,15,4,2,2.4,40
83,15,4,2,2.4,80
84,15,4,2,2.4,80
85,15,4,2,2.4,120
86,15,4,2,2.4,120
87,15,4,2,2.4,300
88,15,4,2,2.4,300
89,15,4,2,2.4,40
90,15,4,2,2.4,40
91,15,4,2,2.4,80
92,15,4,2,2.4,80
93,15,4,2,2.4,120
94,15,4,2,2.4,120
95,15,4,2,2.4,300
96,15,4,2,2.4,300
97,15,4,4,1.5,40
98,15,4,4,1.5,40
99,15,4,4,1.5,80
100,15,4,4,1.5,80
101,15,4,4,1.5,120
102,15,4,4,1.5,120
103,15,4,4,1.5,300
104,15,4,4,1.5,300
105,15,4,4,1.5,40
106,15,4,4,1.5,40
107,15,4,4,1.5,80
108,15,4,4,1.5,80
109,15,4,4,1.5,120
110,15,4,4,1.5,120
111,15,4,4,1.5,300
112,15,4,4,1.5,300
113,15,4,4,2,40
114,15,4,4,2,40
115,15,4,4,2,80
116,15,4,4,2,80
117,15,4,4,2,120
118,15,4,4,2,120
119,15,4,4,2,300
120,15,4,4,2,300
121,15,4,4,2,40
122,15,4,4,2,40
123,15,4,4,2,80
124,15,4,4,2,80
125,15,4,4,2,120
126,15,4,4,2,120
127,15,4,4,2,300
128,15,4,4,2,300
129,15,4,4,2.4,40
130,15,4,4,2.4,40
131,15,4,4,2.4,80
132,15,4,4,2.4,80
133,15,4,4,2.4,120
134,15,4,4,2.4,120
135,15,4,4,2.4,300
136,15,4,4,2.4,300
137,15,4,4,2.4,40
138,15,4,4,2.4,40
139,15,4,4,2.4,80
140,15,4,4,2.4,80
141,15,4,4,2.4,120
142,15,4,4,2.4,120
143,15,4,4,2.4,300
144,15,4,4,2.4,300
145,15,5,1,1.5,40
146,15,5,1,1.5,40
147,15,5,1,1.5,80
148,15,5,1,1.5,80
149,15,5,1,1.5,120
150,15,5,1,1.5,120
151,15,5,1,1.5,300
152,15,5,1,1.5,300
153,15,5,1,1.5,40
154,15,5,1,1.5,40
155,15,5,1,1.5,80
156,15,5,1,1.5,80
